Name,Aroma,Uses,Plant Source,Suited Mood
Lavender,Floral,"Relaxation, sleep aid",Lavandula angustifolia,Calming
Peppermint,Minty,"Digestive aid, headache relief",Mentha piperita,Invigorating
Eucalyptus,Fresh,"Respiratory relief",Eucalyptus globulus,Refreshing
Tea Tree,Medicinal,"Antiseptic, skin care",Melaleuca alternifolia,Cleansing
Lemon,Citrusy,"Mood booster, cleaning",Citrus limon,Uplifting
Frankincense,Earthy,"Meditation, skin rejuvenation",Boswellia sacra,Grounding
Orange,Sweet,"Mood enhancer, cleaning",Citrus sinensis,Cheerful
Rosemary,Herbal,"Memory aid, hair care",Rosmarinus officinalis,Stimulating
Chamomile,Sweet,"Sleep aid, calming",Matricaria chamomilla,Soothing
Ylang Ylang,Floral,"Stress relief, skincare",Cananga odorata,Romantic
Bergamot,Citrus,"Anxiety relief, mood booster",Citrus bergamia,Uplifting
Clary Sage,Herbal,"Hormonal balance, relaxation",Salvia sclarea,Calming
Geranium,Floral,"Skin care, mood enhancer",Pelargonium graveolens,Balancing
Patchouli,Earthy,"Grounding, skin care",Pogostemon cablin,Relaxing
Sandalwood,Woody,"Meditation, skincare",Santalum album,Grounding
Jasmine,Floral,"Mood enhancer, aphrodisiac",Jasminum officinale,Romantic
Cinnamon,Spicy,"Antimicrobial, warming",Cinnamomum verum,Comforting
Vetiver,Earthy,"Stress relief, grounding",Vetiveria zizanoides,Calming
Basil,Herbal,"Digestive aid, focus",Ocimum basilicum,Uplifting
Neroli,Floral,"Stress relief, skincare",Citrus aurantium,Calming
Cypress,Woody,"Emotional balance, grounding",Cupressus sempervirens,Grounding
